Cement,Sand,Water,Hours,Bacteria,Fiber,Area
600,1200,170,552,2,0,0.6876191
600,1200,170,564,2,0,0.6928571
600,1200,170,576,2,0,0.6980952
600,1200,170,588,2,0,0.7033333
600,1200,170,600,2,0,0.7085715
600,1200,170,612,2,0,0.7138095
600,1200,170,624,2,0,0.7190476
600,1200,170,636,2,0,0.7242857
600,1200,170,648,2,0,0.7295238
600,1200,170,660,2,0,0.7347619
600,1200,170,672,2,0,0.74
600,1200,270,0,0,1,0
600,1200,270,12,0,1,0.0138095
600,1200,270,24,0,1,0.027619
600,1200,270,36,0,1,0.0414285
600,1200,270,48,0,1,0.0552381
600,1200,270,60,0,1,0.0690476
600,1200,270,72,0,1,0.0828571
600,1200,270,84,0,1,0.0966667
600,1200,270,96,0,1,0.1104762
600,1200,270,108,0,1,0.1242857
600,1200,270,120,0,1,0.1380952
600,1200,270,132,0,1,0.1519048
600,1200,270,144,0,1,0.1657143
600,1200,270,156,0,1,0.1795238
600,1200,270,168,0,1,0.1933333
600,1200,270,180,0,1,0.1938095
600,1200,270,192,0,1,0.1942857
600,1200,270,204,0,1,0.1947619
600,1200,270,216,0,1,0.1952381
600,1200,270,228,0,1,0.1957143
600,1200,270,240,0,1,0.1961905
600,1200,270,252,0,1,0.1966666
600,1200,270,264,0,1,0.1971428
600,1200,270,276,0,1,0.197619
600,1200,270,288,0,1,0.1980952
600,1200,270,300,0,1,0.1985714
600,1200,270,312,0,1,0.1990476
600,1200,270,324,0,1,0.1995238
600,1200,270,336,0,1,0.2
600,1200,270,348,0,1,0.2052381
600,1200,270,360,0,1,0.2104762
600,1200,270,372,0,1,0.2157143
600,1200,270,384,0,1,0.2209524
600,1200,270,396,0,1,0.2261905
600,1200,270,408,0,1,0.2314286
600,1200,270,420,0,1,0.2366666
600,1200,270,432,0,1,0.2419047
600,1200,270,444,0,1,0.2471428
600,1200,270,456,0,1,0.2523809
600,1200,270,468,0,1,0.257619
600,1200,270,480,0,1,0.2628571
600,1200,270,492,0,1,0.2680952
600,1200,270,504,0,1,0.2733333
600,1200,270,516,0,1,0.2723809
600,1200,270,528,0,1,0.2714285
600,1200,270,540,0,1,0.2704762
600,1200,270,552,0,1,0.2695238
600,1200,270,564,0,1,0.2685714
600,1200,270,576,0,1,0.267619
600,1200,270,588,0,1,0.2666666
600,1200,270,600,0,1,0.2657143
600,1200,270,612,0,1,0.2647619
600,1200,270,624,0,1,0.2638095
600,1200,270,636,0,1,0.2628572
600,1200,270,648,0,1,0.2619048
600,1200,270,660,0,1,0.2609524
600,1200,270,672,0,1,0.26
600,1200,270,0,0,2,0
600,1200,270,12,0,2,0.0257143
600,1200,270,24,0,2,0.0514286
600,1200,270,36,0,2,0.0771428
600,1200,270,48,0,2,0.1028571
600,1200,270,60,0,2,0.1285714
600,1200,270,72,0,2,0.1542857
600,1200,270,84,0,2,0.18
600,1200,270,96,0,2,0.2057143
600,1200,270,108,0,2,0.2314285
600,1200,270,120,0,2,0.2571428
600,1200,270,132,0,2,0.2828571
600,1200,270,144,0,2,0.3085714
600,1200,270,156,0,2,0.3342857
600,1200,270,168,0,2,0.36
600,1200,270,180,0,2,0.3604762
600,1200,270,192,0,2,0.3609524
600,1200,270,204,0,2,0.3614286
600,1200,270,216,0,2,0.3619048
600,1200,270,228,0,2,0.362381
600,1200,270,240,0,2,0.3628572
600,1200,270,252,0,2,0.3633334
600,1200,270,264,0,2,0.3638095
600,1200,270,276,0,2,0.3642857
600,1200,270,288,0,2,0.3647619
600,1200,270,300,0,2,0.3652381
600,1200,270,312,0,2,0.3657143
600,1200,270,324,0,2,0.3661905
600,1200,270,336,0,2,0.3666667
600,1200,270,348,0,2,0.3645238
600,1200,270,360,0,2,0.362381
600,1200,270,372,0,2,0.3602381
600,1200,270,384,0,2,0.3580953
600,1200,270,396,0,2,0.3559525
600,1200,270,408,0,2,0.3538096
600,1200,270,420,0,2,0.3516667
600,1200,270,432,0,2,0.3495238
600,1200,270,444,0,2,0.347381
600,1200,270,456,0,2,0.3452382
600,1200,270,468,0,2,0.3430953
600,1200,270,480,0,2,0.3409524
600,1200,270,492,0,2,0.3388096
600,1200,270,504,0,2,0.3366667
600,1200,270,516,0,2,0.3345238
600,1200,270,528,0,2,0.332381
600,1200,270,540,0,2,0.3302381
600,1200,270,552,0,2,0.3280953
600,1200,270,564,0,2,0.3259525
600,1200,270,576,0,2,0.3238096
600,1200,270,588,0,2,0.3216667
600,1200,270,600,0,2,0.3195238
600,1200,270,612,0,2,0.3173809
600,1200,270,624,0,2,0.3152381
600,1200,270,636,0,2,0.3130952
600,1200,270,648,0,2,0.3109524
600,1200,270,660,0,2,0.3088095
600,1200,270,672,0,2,0.3066667
600,1200,270,0,0,3,0
600,1200,270,12,0,3,0.0311905
600,1200,270,24,0,3,0.062381
600,1200,270,36,0,3,0.0935715
600,1200,270,48,0,3,0.1247619
600,1200,270,60,0,3,0.1559524
600,1200,270,72,0,3,0.1871429
600,1200,270,84,0,3,0.2183334
600,1200,270,96,0,3,0.2495238
600,1200,270,108,0,3,0.2807143
600,1200,270,120,0,3,0.3119048
600,1200,270,132,0,3,0.3430953
600,1200,270,144,0,3,0.3742858
600,1200,270,156,0,3,0.4054763
600,1200,270,168,0,3,0.4366667
600,1200,270,180,0,3,0.4366667
600,1200,270,192,0,3,0.4366667
600,1200,270,204,0,3,0.4366667
600,1200,270,216,0,3,0.4366667
600,1200,270,228,0,3,0.4366667
600,1200,270,240,0,3,0.4366667
600,1200,270,252,0,3,0.4366667
600,1200,270,264,0,3,0.4366667
600,1200,270,276,0,3,0.4366667
600,1200,270,288,0,3,0.4366667
600,1200,270,300,0,3,0.4366667
600,1200,270,312,0,3,0.4366667
600,1200,270,324,0,3,0.4366667
600,1200,270,336,0,3,0.4366667
600,1200,270,348,0,3,0.4321429
600,1200,270,360,0,3,0.4276191
600,1200,270,372,0,3,0.4230952
600,1200,270,384,0,3,0.4185714
600,1200,270,396,0,3,0.4140476
600,1200,270,408,0,3,0.4095238
600,1200,270,420,0,3,0.40500
600,1200,270,432,0,3,0.4004762
600,1200,270,444,0,3,0.3959524
600,1200,270,456,0,3,0.3914286
600,1200,270,468,0,3,0.3869048
600,1200,270,480,0,3,0.3823809
600,1200,270,492,0,3,0.3778571
600,1200,270,504,0,3,0.3733333
600,1200,270,516,0,3,0.3819048
600,1200,270,528,0,3,0.3904762
600,1200,270,540,0,3,0.3990476
600,1200,270,552,0,3,0.407619
600,1200,270,564,0,3,0.4161904
600,1200,270,576,0,3,0.4247618
600,1200,270,588,0,3,0.4333333
600,1200,270,600,0,3,0.4419047
600,1200,270,612,0,3,0.4504762
600,1200,270,624,0,3,0.4590476
600,1200,270,636,0,3,0.467619
600,1200,270,648,0,3,0.4761904
600,1200,270,660,0,3,0.4847618
600,1200,270,672,0,3,0.4933333
600,1200,170,0,2,1,0
600,1200,170,12,2,1,0.0271428
600,1200,170,24,2,1,0.0542857
600,1200,170,36,2,1,0.0814285
600,1200,170,48,2,1,0.1085714
600,1200,170,60,2,1,0.1357143
600,1200,170,72,2,1,0.1628572
600,1200,170,84,2,1,0.19
600,1200,170,96,2,1,0.2171428
600,1200,170,108,2,1,0.2442857
600,1200,170,120,2,1,0.2714286
600,1200,170,132,2,1,0.2985715
600,1200,170,144,2,1,0.3257143
600,1200,170,156,2,1,0.3528571
600,1200,170,168,2,1,0.38
600,1200,170,180,2,1,0.3814285
600,1200,170,192,2,1,0.3828571
600,1200,170,204,2,1,0.3842857
600,1200,170,216,2,1,0.3857143
600,1200,170,228,2,1,0.3871429
600,1200,170,240,2,1,0.3885714
600,1200,170,252,2,1,0.39
600,1200,170,264,2,1,0.3914286
600,1200,170,276,2,1,0.3928571
600,1200,170,288,2,1,0.3942857
600,1200,170,300,2,1,0.3957143
600,1200,170,312,2,1,0.3971429
600,1200,170,324,2,1,0.3985715
600,1200,170,336,2,1,0.4
600,1200,170,348,2,1,0.3957143
600,1200,170,360,2,1,0.3914286
600,1200,170,372,2,1,0.3871429
600,1200,170,384,2,1,0.3828571
